,id,UserId,ProductId,Time,Score,Summary,Text,helpful
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,llyyue,B00ZV9PXP2,2017-09-03T00:00:00.000Z,3,Too small,I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,FALSE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Charmi,B00ZV9PXP2,2017-06-06T00:00:00.000Z,5,Great light reader. Easy to use at the beach,This kindle is light and easy to use especially at the beach!!!,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,johnnyjojojo,B00ZV9PXP2,2018-04-20T00:00:00.000Z,4,Great for the price,"Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Kdperry,B00ZV9PXP2,2017-11-02T17:33:31.000Z,5,A Great Buy,"I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Johnnyblack,B00ZV9PXP2,2018-04-24T00:00:00.000Z,5,Solid entry-level Kindle. Great for kids,Solid entry level Kindle. Great for kids. Gifted for a kid of my friend and they love to use it to read more than their iPads. battery is good but higher model is a bit better.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,rmwarriors,B00ZV9PXP2,2016-12-14T00:00:00.000Z,5,Good ebook,This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.,FALSE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,LexieCrews,B00ZV9PXP2,2017-12-20T17:38:23.000Z,5,Light Weight - Makes a world of difference when taking books on the go!,"I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,merry,B00ZV9PXP2,2017-07-14T00:00:00.000Z,4,not good quality,I bought my Kindle about 2 months ago and the battery is already dead and will not charge,FALSE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,STEF,B00ZV9PXP2,2018-05-23T00:00:00.000Z,5,best ebook,"amazon kindle is always the best ebook, upgrade every new model",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,AEBY,B00ZV9PXP2,2018-01-12T00:00:00.000Z,5,Great Product,"It's beyond my expectation, and it can even show music score. Not fast turning though.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,jjhippo,B00ZV9PXP2,2016-09-11T00:00:00.000Z,5,Good price excellent reader,If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Sean242,B00ZV9PXP2,2017-04-22T00:00:00.000Z,5,feels like a real book,"Love my kindle, makes reading at night so easy and it feels like you are reading a real book.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Jackie,B00ZV9PXP2,2017-02-20T00:00:00.000Z,5,Great readers,Good product for child. Who only need to read the books,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,grandma,B00ZV9PXP2,2018-01-06T00:00:00.000Z,5,Just what my grandson wanted,This Kindle is a convenient size yet lettering is easy to read.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,BeeRocker,B00ZV9PXP2,2017-02-23T00:00:00.000Z,5,Great for reading on the go,"I use this every day on my commute. Great battery life, no backlight but very readable with normal lighting. I like the built in dictionary. Email yourself pdf or mobi files for easy transfers.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Chillypr,B00ZV9PXP2,2017-02-25T00:00:00.000Z,3,Does its job,It does its job but I would buy one which the screen is brighter. There are times that it's difficult to read because screen is not too bright,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,John,B00ZV9PXP2,2017-11-19T00:00:00.000Z,5,Great!,Great product for myself! And I bought it when there was great deal on it!,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Bill,B00ZV9PXP2,2016-12-24T00:00:00.000Z,4,Work,Item work well and was easy to read from in day light,TRUE
