Unnamed: 0,id,UserId,ProductId,Time,Score,Summary,Text,helpful
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Honydear,B06XB29FPF,2017-12-23T00:00:00.000Z,4,Does almost what I bought it for,I was wishing I good set it up to my pool equipment.,True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Bambino,53-004729,2016-08-19T00:00:00.000Z,3,An ok tablet,It's an ok tablet because you need to have an Amazon account in order to download free apps,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Ciro,B010CEHQTG,2017-10-05T00:00:00.000Z,5,Awesome having Show!,I have one Alexa and three Echo dots and having Echo Show now is awesome!,True
AVqVGZSEQMlgsOJE6eUc,AVqVGZSEQMlgsOJE6eUc,DowntownBrown,53-004447,2017-09-15T00:00:00.000Z,5,Great reader,The Kindle is great for reading on the go when I can't carry around a lot of books.,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,BUDMAN,B06XB29FPF,2017-11-24T00:00:00.000Z,5,GREAT NEW FEATURES,"ECHO PLUS OFFERS SO MUCH MORE FOR THE SMART HOME., HOWEVER, I HAVE HAD THE DOT FOR A LONG TIME AND YESTERDAY I BOUGHT 5 ECHO DOTS FOR MY CHILDREN .GREAT PRODUCT.",True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Daveed,53-004755,2017-01-06T00:00:00.000Z,4,Have not yet used the product.,Have not used the product. This item was a gift and I have not yet received word on the product.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,BestBuyJM,53-004484,2017-02-25T00:00:00.000Z,4,Kindle Fire HD 8,"These Kindle Fire tablets simply can't be beat in terms of value and bang for your buck if you have an Amazon Prime account it would be a crime not to have a Fire tablet.Good strong build quality, very nice bright screen with a strong picture and good resolution. They are pretty responsive, have good battery life and can handle the abuse of letting your kids use it as well.",True
AVqVGZSEQMlgsOJE6eUc,AVqVGZSEQMlgsOJE6eUc,kimsanity,53-004447,2016-09-25T00:00:00.000Z,4,Great Value,This little device is great for it price. Lots of features.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,lpgonn,53-004484,2017-02-03T00:00:00.000Z,5,Great tablet,Everything I expected with none of the drawbacks I have found in other tablets,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Alex,53-004484,2017-05-17T00:00:00.000Z,5,Great tablet,Got this tablet for my mother and liked it so much that I went and got one for myself! It runs fast for what I use it for!,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Gabigale1,53-004484,2017-03-15T00:00:00.000Z,5,Great!,Bought this tablet for my son and he has loved it. It's so easy for him to use and easy for me to set parental controls.,True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,rys1981,B018Y225IA,2016-09-17T00:00:00.000Z,5,Good beginner tablet,Great on the go companion for avid reader. Easy to load books and connect with prime.,True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Shane,B018Y225IA,2017-08-04T00:00:00.000Z,5,Good beginner tablet.,I'm very ignorant of tablets. I bought this for my 2 year old and it has a lot to offer.,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,SouthStreet,B06XB29FPF,2018-03-16T00:00:00.000Z,5,Excellent Choice!,"Friend received Amazon Echo as gift & is enjoying it. I researched & decided on Echo Plus as I wanted capability to use to control home lighting. Absolutely love this product! It controls lights in several rooms as well as outdoor lighting. Other features, weather, news briefs, traffic are fun, but the lighting control did it for me.",True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Pross,B06XB29FPF,2017-12-08T00:00:00.000Z,4,Awesome,My son loves it. He now wants to add more for Alexa to use.,True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,Melita,B018Y224PY,2016-12-18T00:00:00.000Z,4,Easy access to my magazines and books.,Bought this tablet after a cheaper model quit working. I found all my cloud items already available being Prime Member.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,kmat,53-004484,2016-12-15T00:00:00.000Z,4,Very Good tablet,"Great little product for the price. Not the best camera, but it doesn't claim to be. .",True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Migies,53-004755,2017-02-17T00:00:00.000Z,5,Great Tablet For 2 Year Old,I'm very happy with this tablet..My nephew loves it.,True
